market,model,IC,ICIR,RankIC,RankICIR,AR,STD,MDD,Sharpe,Sortino,Calmar
csi300,MATCC,0.0331 ± 0.0067,0.1994 ± 0.0489,0.0454 ± 0.0038,0.2694 ± 0.0307,0.1260 ± 0.0518,0.1803 ± 0.0148,-0.2835 ± 0.0540,0.6421 ± 0.2097,1.0011 ± 0.3548,0.4715 ± 0.2263
sp500,MATCC,0.0006 ± 0.0051,0.0037 ± 0.0418,0.0004 ± 0.0027,0.0031 ± 0.0224,0.1123 ± 0.0425,0.2046 ± 0.0210,-0.2481 ± 0.0306,0.5068 ± 0.1532,0.7320 ± 0.2272,0.4651 ± 0.2000
